"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"लोणार","पिवळा","क्विंटल","54","4100","4300","4200"
"आंबेजोबाई","पिवळा","क्विंटल","120","4000","4300","4250"
"केज","पिवळा","क्विंटल","72","4001","4300","4248"
"अहमहपूर","पिवळा","क्विंटल","473","3500","4460","4253"
"औसा","पिवळा","क्विंटल","470","4201","4475","4422"
"औराद शहाजानी","पिवळा","क्विंटल","35","4301","4301","4301"
"उमरी","पिवळा","क्विंटल","24","4500","4600","4550"
"कळंब (धाराशिव)","पिवळा","क्विंटल","110","3500","4400","4350"
"मुरुम","पिवळा","क्विंटल","45","4250","4300","4276"
"सेनगाव","पिवळा","क्विंटल","65","4000","4300","4100"
"मंगरुळपीर","पिवळा","क्विंटल","758","3700","4490","4350"
"मंगळूरपीर - शेलूबाजार","पिवळा","क्विंटल","245","3650","4470","4285"
"चांदूर-रल्वे.","पिवळा","क्विंटल","41","4280","4450","4400"
"नांदूरा","पिवळा","क्विंटल","250","3900","4340","4340"
"शेगाव","पिवळा","क्विंटल","2","3980","4300","4140"
"बुलढाणा","पिवळा","क्विंटल","15","4050","4250","4150"
"सिंदखेड राजा","पिवळा","क्विंटल","18","4100","4551","4400"
"नेर परसोपंत","पिवळा","क्विंटल","39","3310","4275","3911"
"बाभुळगाव","पिवळा","क्विंटल","160","3810","4460","4250"
"काटोल","पिवळा","क्विंटल","28","3900","4250","4050"
"सिंदी(सेलू)","पिवळा","क्विंटल","45","3950","4205","4150"
"आर्णी","पिवळा","क्विंटल","330","4000","4390","4150"
"देवणी","पिवळा","क्विंटल","5","4380","4380","4380"
"09/09/2025","","","","","",""
"अहिल्यानगर","---","क्विंटल","14","4300","4300","4300"
"लासलगाव","---","क्विंटल","335","3300","4511","4471"
"लासलगाव - विंचूर","---","क्विंटल","135","3000","4561","4470"
